user_id,subscription_date,plan_type,price,ab_group
3,2025-04-08,monthly,9.99,B
10,2025-04-06,monthly,9.99,A
13,2025-04-28,monthly,9.99,B
15,2025-04-15,monthly,9.99,B
17,2025-04-09,annual,99.99,B
19,2025-04-11,monthly,9.99,B
20,2025-04-22,annual,99.99,A
21,2025-04-12,monthly,9.99,B
22,2025-04-08,annual,99.99,A
37,2025-04-18,monthly,9.99,A
40,2025-04-01,monthly,9.99,B
58,2025-04-05,monthly,9.99,A
63,2025-04-12,monthly,9.99,A
64,2025-04-11,monthly,9.99,B
72,2025-04-14,annual,99.99,B
73,2025-04-21,annual,99.99,A
74,2025-04-12,monthly,9.99,B
92,2025-04-24,monthly,9.99,A
93,2025-04-23,annual,99.99,A
99,2025-04-20,monthly,9.99,A
106,2025-04-18,monthly,9.99,A
128,2025-04-08,monthly,9.99,B
130,2025-04-29,monthly,9.99,A
132,2025-04-13,annual,99.99,A
133,2025-05-01,monthly,9.99,B
135,2025-04-28,monthly,9.99,A
139,2025-04-08,monthly,9.99,B
149,2025-04-07,monthly,9.99,B
157,2025-04-18,monthly,9.99,B
161,2025-04-08,monthly,9.99,A
162,2025-04-21,monthly,9.99,A
188,2025-04-22,monthly,9.99,A
193,2025-04-04,monthly,9.99,B
201,2025-04-10,monthly,9.99,A
214,2025-04-08,monthly,9.99,B
215,2025-04-21,monthly,9.99,B
235,2025-05-04,monthly,9.99,B
248,2025-04-13,monthly,9.99,A
253,2025-04-11,monthly,9.99,A
255,2025-04-13,monthly,9.99,B
259,2025-05-03,monthly,9.99,A
276,2025-04-15,monthly,9.99,B
280,2025-04-21,monthly,9.99,A
302,2025-04-09,monthly,9.99,B
306,2025-04-11,monthly,9.99,B
310,2025-04-08,monthly,9.99,A
314,2025-04-05,monthly,9.99,A
317,2025-04-23,monthly,9.99,B
318,2025-04-07,annual,99.99,A
322,2025-04-09,monthly,9.99,B
328,2025-04-08,annual,99.99,B
333,2025-04-24,monthly,9.99,A
344,2025-04-06,monthly,9.99,A
352,2025-04-17,monthly,9.99,B
354,2025-04-10,monthly,9.99,B
362,2025-04-15,annual,99.99,B
364,2025-04-09,monthly,9.99,A
374,2025-04-08,monthly,9.99,A
383,2025-04-19,monthly,9.99,A
384,2025-04-11,monthly,9.99,A
388,2025-04-12,monthly,9.99,B
389,2025-04-21,monthly,9.99,A
392,2025-04-05,monthly,9.99,A
398,2025-04-09,monthly,9.99,B
405,2025-04-05,monthly,9.99,B
421,2025-04-10,monthly,9.99,A
426,2025-04-05,monthly,9.99,A
430,2025-04-21,monthly,9.99,B
435,2025-04-09,monthly,9.99,B
439,2025-04-06,monthly,9.99,A
448,2025-04-09,monthly,9.99,B
458,2025-04-07,monthly,9.99,A
489,2025-04-15,monthly,9.99,B
491,2025-04-26,monthly,9.99,A
504,2025-04-04,annual,99.99,B
506,2025-04-09,monthly,9.99,B
510,2025-04-29,monthly,9.99,B
511,2025-04-26,monthly,9.99,B
512,2025-04-22,annual,99.99,A
514,2025-04-13,monthly,9.99,B
527,2025-04-08,annual,99.99,B
528,2025-04-26,monthly,9.99,B
529,2025-04-14,monthly,9.99,A
531,2025-04-20,annual,99.99,B
537,2025-04-11,monthly,9.99,A
538,2025-04-06,monthly,9.99,B
542,2025-04-14,monthly,9.99,B
545,2025-05-06,monthly,9.99,A
558,2025-04-24,annual,99.99,A
570,2025-04-10,monthly,9.99,A
576,2025-04-08,monthly,9.99,A
588,2025-04-11,monthly,9.99,A
592,2025-04-24,monthly,9.99,B
601,2025-04-21,annual,99.99,B
607,2025-04-21,monthly,9.99,B
613,2025-04-24,monthly,9.99,A
616,2025-04-03,monthly,9.99,B
618,2025-04-14,monthly,9.99,B
625,2025-04-18,monthly,9.99,A
630,2025-05-03,monthly,9.99,B
639,2025-04-06,annual,99.99,A
641,2025-04-10,monthly,9.99,B
647,2025-04-16,monthly,9.99,B
650,2025-04-15,monthly,9.99,B
669,2025-05-10,monthly,9.99,A
670,2025-04-11,annual,99.99,B
705,2025-04-05,monthly,9.99,A
727,2025-04-09,monthly,9.99,B
735,2025-04-24,annual,99.99,A
740,2025-04-09,monthly,9.99,A
747,2025-04-11,annual,99.99,B
750,2025-04-04,monthly,9.99,B
763,2025-04-18,monthly,9.99,A
765,2025-04-17,monthly,9.99,B
777,2025-04-23,monthly,9.99,B
799,2025-04-24,monthly,9.99,B
805,2025-04-17,monthly,9.99,B
813,2025-04-07,monthly,9.99,A
819,2025-04-10,monthly,9.99,A
824,2025-04-13,monthly,9.99,B
826,2025-04-10,monthly,9.99,B
837,2025-04-13,monthly,9.99,B
839,2025-04-15,monthly,9.99,B
841,2025-04-09,annual,99.99,B
847,2025-04-08,annual,99.99,A
853,2025-04-07,annual,99.99,B
862,2025-04-15,monthly,9.99,B
868,2025-04-02,monthly,9.99,B
869,2025-04-08,monthly,9.99,A
871,2025-04-10,monthly,9.99,A
874,2025-04-18,monthly,9.99,A
876,2025-04-13,monthly,9.99,B
883,2025-04-19,monthly,9.99,A
891,2025-04-08,annual,99.99,B
895,2025-04-16,monthly,9.99,A
917,2025-04-13,annual,99.99,A
921,2025-04-12,monthly,9.99,A
923,2025-04-04,monthly,9.99,B
924,2025-04-10,monthly,9.99,B
925,2025-04-14,monthly,9.99,B
926,2025-04-13,annual,99.99,B
938,2025-04-03,monthly,9.99,A
944,2025-04-17,monthly,9.99,A
966,2025-04-13,monthly,9.99,A
971,2025-04-05,annual,99.99,B
979,2025-04-08,monthly,9.99,A
981,2025-04-26,monthly,9.99,A
992,2025-04-23,annual,99.99,A
997,2025-04-16,monthly,9.99,B
1004,2025-04-15,monthly,9.99,A
1020,2025-04-26,monthly,9.99,A
1027,2025-04-18,monthly,9.99,B
1044,2025-04-08,annual,99.99,B
1045,2025-04-14,monthly,9.99,B
1047,2025-04-27,annual,99.99,B
1058,2025-04-19,monthly,9.99,B
1060,2025-04-17,monthly,9.99,B
1069,2025-04-30,monthly,9.99,B
1088,2025-04-10,monthly,9.99,A
1089,2025-04-14,monthly,9.99,B
1093,2025-04-28,monthly,9.99,A
1096,2025-04-22,monthly,9.99,B
1097,2025-04-05,monthly,9.99,A
1098,2025-04-16,monthly,9.99,B
1099,2025-04-13,monthly,9.99,B
1100,2025-04-10,monthly,9.99,A
1103,2025-04-05,monthly,9.99,B
1105,2025-04-07,monthly,9.99,B
1107,2025-04-21,monthly,9.99,A
1112,2025-04-08,annual,99.99,A
1114,2025-04-15,monthly,9.99,B
1129,2025-04-14,monthly,9.99,A
1131,2025-04-25,monthly,9.99,B
1136,2025-04-18,monthly,9.99,B
1141,2025-05-11,monthly,9.99,A
1144,2025-04-03,monthly,9.99,B
1150,2025-04-19,monthly,9.99,B
1153,2025-04-05,monthly,9.99,B
1160,2025-04-11,monthly,9.99,B
1178,2025-04-18,monthly,9.99,A
1185,2025-04-07,monthly,9.99,B
1188,2025-04-07,annual,99.99,B
1197,2025-04-19,monthly,9.99,A
1199,2025-04-08,monthly,9.99,B
1207,2025-04-02,annual,99.99,B
1215,2025-04-12,annual,99.99,A
1222,2025-04-06,monthly,9.99,B
1232,2025-04-08,monthly,9.99,B
1236,2025-04-24,monthly,9.99,B
1249,2025-04-10,monthly,9.99,B
1278,2025-04-02,monthly,9.99,B
1292,2025-04-23,annual,99.99,A
1299,2025-04-03,monthly,9.99,B
1303,2025-04-23,monthly,9.99,B
1328,2025-04-06,monthly,9.99,A
1350,2025-04-15,monthly,9.99,A
1353,2025-04-05,annual,99.99,B
1356,2025-04-09,monthly,9.99,A
1357,2025-04-26,monthly,9.99,B
1367,2025-04-24,monthly,9.99,A
1373,2025-04-28,annual,99.99,B
1384,2025-04-26,monthly,9.99,B
1394,2025-04-29,annual,99.99,A
1396,2025-04-13,monthly,9.99,B
1397,2025-04-01,monthly,9.99,B
1413,2025-04-13,monthly,9.99,A
1422,2025-04-09,annual,99.99,A
1427,2025-04-04,annual,99.99,B
1429,2025-04-03,monthly,9.99,A
1430,2025-04-22,monthly,9.99,B
1441,2025-04-13,monthly,9.99,A
1443,2025-04-17,monthly,9.99,A
1447,2025-04-10,monthly,9.99,B
1448,2025-04-07,monthly,9.99,B
1459,2025-04-12,monthly,9.99,A
1463,2025-04-09,monthly,9.99,B
1473,2025-04-06,annual,99.99,A
1477,2025-04-20,annual,99.99,B
1484,2025-05-03,annual,99.99,B
1489,2025-04-13,monthly,9.99,A
1495,2025-04-22,annual,99.99,B
1498,2025-04-30,monthly,9.99,B
1499,2025-04-07,monthly,9.99,A
1507,2025-04-07,annual,99.99,B
1508,2025-04-06,monthly,9.99,A
1510,2025-04-04,annual,99.99,B
1515,2025-04-25,monthly,9.99,B
1521,2025-04-27,monthly,9.99,A
1523,2025-04-15,monthly,9.99,B
1532,2025-04-16,monthly,9.99,A
1533,2025-04-02,monthly,9.99,B
1535,2025-04-09,annual,99.99,A
1536,2025-04-22,annual,99.99,B
1540,2025-04-23,monthly,9.99,A
1541,2025-04-15,monthly,9.99,A
1544,2025-04-09,monthly,9.99,A
1546,2025-04-24,monthly,9.99,B
1548,2025-04-26,annual,99.99,B
1552,2025-04-06,monthly,9.99,A
1556,2025-04-18,monthly,9.99,A
1559,2025-04-12,monthly,9.99,A
1571,2025-04-19,monthly,9.99,A
1579,2025-04-24,monthly,9.99,B
1583,2025-04-11,monthly,9.99,B
1594,2025-04-30,monthly,9.99,B
1595,2025-04-06,monthly,9.99,B
1598,2025-04-07,monthly,9.99,B
1600,2025-04-27,monthly,9.99,B
